class,image_path,name,xmax,xmin,ymax,ymin
3.0,6793e434a5dedcfd002e132e104d2b2a.jpg,GARBAGE,207.0,94.0,360.0,287.0
3.0,6793e434a5dedcfd002e132e104d2b2a.jpg,GARBAGE,51.0,-17.0,376.0,263.0
3.0,6793e434a5dedcfd002e132e104d2b2a.jpg,GARBAGE,959.0,849.0,223.0,149.0
3.0,6793e434a5dedcfd002e132e104d2b2a.jpg,GARBAGE,954.0,772.0,337.0,249.0
3.0,6793e434a5dedcfd002e132e104d2b2a.jpg,GARBAGE,550.0,409.0,303.0,203.0
3.0,6793e434a5dedcfd002e132e104d2b2a.jpg,GARBAGE,352.0,204.0,354.0,264.0
3.0,6793e434a5dedcfd002e132e104d2b2a.jpg,GARBAGE,799.0,582.0,349.0,244.0
7.0,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,399.0,296.0,241.0,178.0
7.0,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,296.0,175.0,247.0,161.0
7.0,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,912.0,805.0,251.0,181.0
7.0,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,187.0,55.0,246.0,159.0
7.0,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,493.0,379.0,237.0,174.0
7.0,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,227.0,121.0,242.0,164.0
7.0,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,346.0,241.0,250.0,164.0
3.0,6670e7d02ad4963763cf140f29999745.jpg,GARBAGE,427.0,356.0,236.0,183.0
2.0,6670e7d02ad4963763cf140f29999745.jpg,POTHOLES,432.0,353.0,237.0,183.0
2.0,6670e7d02ad4963763cf140f29999745.jpg,POTHOLES,532.0,333.0,560.0,315.0
2.0,6670e7d02ad4963763cf140f29999745.jpg,POTHOLES,497.0,394.0,301.0,213.0
2.0,6670e7d02ad4963763cf140f29999745.jpg,POTHOLES,584.0,403.0,409.0,285.0
0.0,2e811a337b4f2eac5858fe0a8824b422.jpg,GRAFFITI,502.0,326.0,281.0,191.0
0.0,2e811a337b4f2eac5858fe0a8824b422.jpg,GRAFFITI,184.0,76.0,287.0,214.0
0.0,2e811a337b4f2eac5858fe0a8824b422.jpg,GRAFFITI,115.0,-37.0,298.0,183.0
3.0,e9f5ec38a810b53acbfc9f462f3bb655.jpg,GARBAGE,706.0,643.0,245.0,200.0
3.0,e9f5ec38a810b53acbfc9f462f3bb655.jpg,GARBAGE,156.0,41.0,231.0,177.0
3.0,e9f5ec38a810b53acbfc9f462f3bb655.jpg,GARBAGE,119.0,-8.0,240.0,179.0
3.0,d28475d922181c3c29b70fe66d5b9211.jpg,GARBAGE,157.0,4.0,227.0,142.0
2.0,5b8120d69607a077b7583334be3ba18b.jpg,POTHOLES,665.0,478.0,401.0,278.0
2.0,5b8120d69607a077b7583334be3ba18b.jpg,POTHOLES,557.0,493.0,252.0,200.0
2.0,5b8120d69607a077b7583334be3ba18b.jpg,POTHOLES,408.0,213.0,509.0,352.0
2.0,5b8120d69607a077b7583334be3ba18b.jpg,POTHOLES,763.0,547.0,538.0,347.0
3.0,0d1b0324a9f32929b59bcdda70ccc2b0.jpg,GARBAGE,729.0,633.0,258.0,206.0
,c8956b46b0ae43d6aa03e93d15c8407a.jpg,,,,,
9.0,a192f783740516028b4911d262d14bc7.jpg,CLUTTER_SIDEWALK,923.0,-45.0,603.0,334.0
,e184ec48c59919619e06ef1520c3904d.jpg,,,,,
3.0,9b7352bb2f68b01c6f9b3fffff85db38.jpg,GARBAGE,302.0,246.0,280.0,234.0
7.0,9b7352bb2f68b01c6f9b3fffff85db38.jpg,BAD_BILLBOARD,994.0,855.0,117.0,5.0
3.0,fc13cf0c55532192e049aaca6cb386d6.jpg,GARBAGE,606.0,553.0,298.0,262.0
3.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,GARBAGE,388.0,307.0,203.0,149.0
2.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,POTHOLES,511.0,430.0,237.0,173.0
3.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,GARBAGE,217.0,130.0,215.0,158.0
3.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,GARBAGE,317.0,243.0,285.0,223.0
2.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,POTHOLES,439.0,326.0,230.0,178.0
3.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,GARBAGE,426.0,369.0,202.0,155.0
4.0,616b92b0ce6585b83a476994a6b7b2d1.jpg,CONSTRUCTION_ROAD,1032.0,434.0,394.0,94.0
4.0,616b92b0ce6585b83a476994a6b7b2d1.jpg,CONSTRUCTION_ROAD,448.0,-139.0,394.0,58.0
4.0,616b92b0ce6585b83a476994a6b7b2d1.jpg,CONSTRUCTION_ROAD,718.0,223.0,380.0,100.0
3.0,36f8beeb819914fed4798b0f074a2064.jpg,GARBAGE,170.0,110.0,254.0,212.0
3.0,36f8beeb819914fed4798b0f074a2064.jpg,GARBAGE,724.0,630.0,239.0,186.0
3.0,36f8beeb819914fed4798b0f074a2064.jpg,GARBAGE,82.0,4.0,290.0,239.0
,334dee7f647d376b910e746da339ae51.jpg,,,,,
2.0,37e9a2281d704437944feafc9f7d5f12.jpg,POTHOLES,474.0,321.0,411.0,208.0
9.0,0949e28602a56a039abcdf6d2d3c366c.jpg,CLUTTER_SIDEWALK,343.0,167.0,268.0,205.0
3.0,0949e28602a56a039abcdf6d2d3c366c.jpg,GARBAGE,613.0,562.0,231.0,192.0
9.0,3bfc7dcc43f2f036f2e701f4891a5122.jpg,CLUTTER_SIDEWALK,525.0,-151.0,407.0,264.0
3.0,8bc0188d1eca0989f997fa0a4d073f43.jpg,GARBAGE,731.0,650.0,283.0,231.0
3.0,8bc0188d1eca0989f997fa0a4d073f43.jpg,GARBAGE,430.0,325.0,269.0,201.0
3.0,8bc0188d1eca0989f997fa0a4d073f43.jpg,GARBAGE,129.0,71.0,233.0,193.0
2.0,c6933a6d1e01e05a7860bd688b7eb9f7.jpg,POTHOLES,431.0,330.0,312.0,236.0
2.0,c6933a6d1e01e05a7860bd688b7eb9f7.jpg,POTHOLES,907.0,682.0,409.0,271.0
2.0,c6933a6d1e01e05a7860bd688b7eb9f7.jpg,POTHOLES,456.0,365.0,275.0,208.0
9.0,933ba419bf6375d8567fcb71c55174a4.jpg,CLUTTER_SIDEWALK,843.0,124.0,454.0,207.0
3.0,933ba419bf6375d8567fcb71c55174a4.jpg,GARBAGE,682.0,601.0,210.0,167.0
9.0,933ba419bf6375d8567fcb71c55174a4.jpg,CLUTTER_SIDEWALK,433.0,-144.0,458.0,197.0
2.0,5dd0d85fdeb0e9d785276fec4ff08983.jpg,POTHOLES,83.0,-27.0,495.0,312.0
2.0,5dd0d85fdeb0e9d785276fec4ff08983.jpg,POTHOLES,213.0,-17.0,505.0,372.0
3.0,1d920bc3f201f392a8ddfa5dbefa89e8.jpg,GARBAGE,640.0,554.0,252.0,196.0
3.0,1d920bc3f201f392a8ddfa5dbefa89e8.jpg,GARBAGE,147.0,66.0,238.0,183.0
3.0,1d920bc3f201f392a8ddfa5dbefa89e8.jpg,GARBAGE,359.0,286.0,239.0,190.0
3.0,172ebef5bbbbc2f47cf520cbc67e72dc.jpg,GARBAGE,448.0,378.0,351.0,307.0
3.0,982253584fed719e9b48b53661df502e.jpg,GARBAGE,106.0,-34.0,319.0,231.0
0.0,982253584fed719e9b48b53661df502e.jpg,GRAFFITI,85.0,8.0,198.0,148.0
3.0,982253584fed719e9b48b53661df502e.jpg,GARBAGE,792.0,721.0,278.0,212.0
3.0,982253584fed719e9b48b53661df502e.jpg,GARBAGE,197.0,117.0,246.0,166.0
2.0,aec3b6cd2483fb1ccb1a72a59c08ff05.jpg,POTHOLES,474.0,329.0,476.0,335.0
3.0,45e299772aa7550f761faf48e3d80b80.jpg,GARBAGE,666.0,571.0,253.0,198.0
2.0,5bc073dfb5d2ef9bf49dc54c943a5d3f.jpg,POTHOLES,428.0,336.0,202.0,157.0
,33fec99cca597d69c110cbb216e35ef9.jpg,,,,,
3.0,b1a64fc1b6c0d7527b30f459be059ef0.jpg,GARBAGE,271.0,213.0,251.0,209.0
3.0,b1a64fc1b6c0d7527b30f459be059ef0.jpg,GARBAGE,563.0,492.0,263.0,215.0
9.0,afa16b8584f23b5875d0b74a5cbd3fa4.jpg,CLUTTER_SIDEWALK,149.0,-49.0,317.0,191.0
9.0,afa16b8584f23b5875d0b74a5cbd3fa4.jpg,CLUTTER_SIDEWALK,1106.0,509.0,330.0,180.0
9.0,afa16b8584f23b5875d0b74a5cbd3fa4.jpg,CLUTTER_SIDEWALK,682.0,37.0,328.0,180.0
3.0,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,272.0,161.0,234.0,161.0
3.0,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,81.0,-27.0,258.0,149.0
3.0,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,893.0,747.0,232.0,134.0
3.0,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,826.0,683.0,230.0,128.0
3.0,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,527.0,390.0,228.0,160.0
3.0,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,913.0,829.0,219.0,154.0
3.0,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,711.0,593.0,229.0,145.0
3.0,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,132.0,-43.0,307.0,203.0
3.0,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,583.0,463.0,237.0,151.0
3.0,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,645.0,527.0,235.0,139.0
3.0,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,252.0,45.0,293.0,155.0
3.0,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,430.0,296.0,223.0,129.0
3.0,4ab6d2389e3ac7480d0693c979547e43.jpg,GARBAGE,798.0,722.0,442.0,385.0
3.0,420129f069a3fd8c1792bc3fe144771b.jpg,GARBAGE,557.0,478.0,317.0,270.0
3.0,420129f069a3fd8c1792bc3fe144771b.jpg,GARBAGE,577.0,442.0,367.0,254.0
3.0,420129f069a3fd8c1792bc3fe144771b.jpg,GARBAGE,706.0,626.0,410.0,349.0
9.0,420129f069a3fd8c1792bc3fe144771b.jpg,CLUTTER_SIDEWALK,564.0,-185.0,516.0,166.0
9.0,420129f069a3fd8c1792bc3fe144771b.jpg,CLUTTER_SIDEWALK,1023.0,283.0,539.0,183.0
3.0,420129f069a3fd8c1792bc3fe144771b.jpg,GARBAGE,463.0,363.0,478.0,395.0
3.0,420129f069a3fd8c1792bc3fe144771b.jpg,GARBAGE,787.0,640.0,379.0,297.0
3.0,95dcb220b2872dbb99cfc87c9139e066.jpg,GARBAGE,564.0,511.0,259.0,217.0
3.0,95dcb220b2872dbb99cfc87c9139e066.jpg,GARBAGE,315.0,239.0,355.0,299.0
3.0,95dcb220b2872dbb99cfc87c9139e066.jpg,GARBAGE,852.0,750.0,245.0,167.0
3.0,95dcb220b2872dbb99cfc87c9139e066.jpg,GARBAGE,853.0,764.0,423.0,355.0
3.0,95dcb220b2872dbb99cfc87c9139e066.jpg,GARBAGE,440.0,379.0,261.0,212.0
2.0,ab0e2122d7786186da2e1c4a3d3d6fb4.jpg,POTHOLES,766.0,484.0,570.0,419.0
,81378866af0fa1df73eba401bb0b1a5c.jpg,,,,,
3.0,0227544122e5836bbeeef642241a81c2.jpg,GARBAGE,744.0,663.0,472.0,387.0
7.0,40f34446c449402c0806671313981836.jpg,BAD_BILLBOARD,872.0,690.0,212.0,153.0
3.0,40f34446c449402c0806671313981836.jpg,GARBAGE,158.0,94.0,270.0,224.0
7.0,40f34446c449402c0806671313981836.jpg,BAD_BILLBOARD,760.0,655.0,201.0,156.0
9.0,ad5510a71383d587eeb4ea5bbf223ff4.jpg,CLUTTER_SIDEWALK,961.0,408.0,402.0,279.0
8.0,ad5510a71383d587eeb4ea5bbf223ff4.jpg,SAND_ON_ROAD,611.0,439.0,287.0,200.0
3.0,ee059d3eb6b48cde05c441c5d948cc4d.jpg,GARBAGE,481.0,439.0,266.0,237.0
9.0,ee059d3eb6b48cde05c441c5d948cc4d.jpg,CLUTTER_SIDEWALK,1057.0,668.0,481.0,267.0
7.0,ee059d3eb6b48cde05c441c5d948cc4d.jpg,BAD_BILLBOARD,108.0,5.0,254.0,199.0
3.0,ee059d3eb6b48cde05c441c5d948cc4d.jpg,GARBAGE,989.0,872.0,395.0,293.0
7.0,ee059d3eb6b48cde05c441c5d948cc4d.jpg,BAD_BILLBOARD,178.0,109.0,249.0,205.0
0.0,ee059d3eb6b48cde05c441c5d948cc4d.jpg,GRAFFITI,752.0,660.0,254.0,181.0
3.0,f8a2e157db7768e2f82adcb73541ef30.jpg,GARBAGE,169.0,61.0,218.0,159.0
3.0,f8a2e157db7768e2f82adcb73541ef30.jpg,GARBAGE,981.0,827.0,263.0,136.0
3.0,f8a2e157db7768e2f82adcb73541ef30.jpg,GARBAGE,847.0,685.0,299.0,177.0
3.0,f8a2e157db7768e2f82adcb73541ef30.jpg,GARBAGE,315.0,234.0,206.0,153.0
3.0,f8a2e157db7768e2f82adcb73541ef30.jpg,GARBAGE,992.0,862.0,396.0,241.0
3.0,f8a2e157db7768e2f82adcb73541ef30.jpg,GARBAGE,796.0,625.0,284.0,181.0
3.0,f8a2e157db7768e2f82adcb73541ef30.jpg,GARBAGE,365.0,228.0,212.0,144.0
3.0,f8a2e157db7768e2f82adcb73541ef30.jpg,GARBAGE,403.0,322.0,203.0,144.0
3.0,f8a2e157db7768e2f82adcb73541ef30.jpg,GARBAGE,254.0,137.0,216.0,154.0
3.0,f8a2e157db7768e2f82adcb73541ef30.jpg,GARBAGE,497.0,412.0,205.0,153.0
3.0,f8a2e157db7768e2f82adcb73541ef30.jpg,GARBAGE,114.0,1.0,232.0,163.0
2.0,6f89918487fa30edf85401c9fbf0561e.jpg,POTHOLES,230.0,114.0,217.0,158.0
0.0,6f89918487fa30edf85401c9fbf0561e.jpg,GRAFFITI,990.0,844.0,200.0,100.0
3.0,dca11445ca566ef2e24f42e86c29edc1.jpg,GARBAGE,230.0,165.0,267.0,218.0
9.0,dca11445ca566ef2e24f42e86c29edc1.jpg,CLUTTER_SIDEWALK,1046.0,480.0,307.0,171.0
9.0,dca11445ca566ef2e24f42e86c29edc1.jpg,CLUTTER_SIDEWALK,620.0,93.0,305.0,161.0
,120ef5e75a671b5c36851b10d7c0fd8b.jpg,,,,,
3.0,0d01179e058c1f6706e04c7a2d90a7f8.jpg,GARBAGE,637.0,534.0,170.0,113.0
8.0,0d01179e058c1f6706e04c7a2d90a7f8.jpg,SAND_ON_ROAD,309.0,141.0,140.0,81.0
3.0,0d01179e058c1f6706e04c7a2d90a7f8.jpg,GARBAGE,330.0,154.0,266.0,169.0
3.0,0d01179e058c1f6706e04c7a2d90a7f8.jpg,GARBAGE,352.0,219.0,128.0,56.0
3.0,0d01179e058c1f6706e04c7a2d90a7f8.jpg,GARBAGE,764.0,586.0,252.0,171.0
3.0,0d01179e058c1f6706e04c7a2d90a7f8.jpg,GARBAGE,941.0,785.0,225.0,131.0
3.0,2355203f94cfc0e0686795ae91096559.jpg,GARBAGE,277.0,144.0,349.0,284.0
3.0,2355203f94cfc0e0686795ae91096559.jpg,GARBAGE,819.0,741.0,350.0,293.0
3.0,2355203f94cfc0e0686795ae91096559.jpg,GARBAGE,793.0,652.0,324.0,243.0
3.0,2355203f94cfc0e0686795ae91096559.jpg,GARBAGE,131.0,-43.0,342.0,196.0
3.0,2355203f94cfc0e0686795ae91096559.jpg,GARBAGE,382.0,222.0,329.0,218.0
3.0,2355203f94cfc0e0686795ae91096559.jpg,GARBAGE,192.0,29.0,320.0,155.0
3.0,2355203f94cfc0e0686795ae91096559.jpg,GARBAGE,309.0,72.0,335.0,206.0
3.0,2355203f94cfc0e0686795ae91096559.jpg,GARBAGE,508.0,286.0,344.0,127.0
3.0,2355203f94cfc0e0686795ae91096559.jpg,GARBAGE,610.0,384.0,334.0,211.0
4.0,86a9e12bd134a7cd97c0f4667926d318.jpg,CONSTRUCTION_ROAD,550.0,-183.0,453.0,176.0
4.0,86a9e12bd134a7cd97c0f4667926d318.jpg,CONSTRUCTION_ROAD,1074.0,617.0,440.0,146.0
0.0,9f7b4611104b81e0c3e4f7e12dabe7ad.jpg,GRAFFITI,408.0,31.0,230.0,4.0
0.0,9f7b4611104b81e0c3e4f7e12dabe7ad.jpg,GRAFFITI,142.0,-46.0,209.0,-15.0
,2772690816ecbad849ca465d3f045977.jpg,,,,,
4.0,519e6f8b6e54601f761506e7d16fd836.jpg,CONSTRUCTION_ROAD,1084.0,559.0,376.0,139.0
4.0,519e6f8b6e54601f761506e7d16fd836.jpg,CONSTRUCTION_ROAD,780.0,282.0,376.0,137.0
4.0,519e6f8b6e54601f761506e7d16fd836.jpg,CONSTRUCTION_ROAD,524.0,-162.0,381.0,147.0
7.0,66faace2d93d53b2e46d50921ebe0c32.jpg,BAD_BILLBOARD,645.0,480.0,234.0,167.0
0.0,33bca5c8aa715aab57c6d7ddc721ca99.jpg,GRAFFITI,882.0,504.0,167.0,-53.0
0.0,33bca5c8aa715aab57c6d7ddc721ca99.jpg,GRAFFITI,608.0,470.0,186.0,-54.0
3.0,61f30b099ec2386ac74a39bdb53028c5.jpg,GARBAGE,608.0,557.0,275.0,235.0
7.0,61f30b099ec2386ac74a39bdb53028c5.jpg,BAD_BILLBOARD,840.0,743.0,212.0,157.0
7.0,c31b5b9130ad2ecdfd2bf6719447364b.jpg,BAD_BILLBOARD,854.0,661.0,191.0,106.0
2.0,e9ec6186f7f121b93a760014084afe00.jpg,POTHOLES,459.0,277.0,288.0,164.0
3.0,e9ec6186f7f121b93a760014084afe00.jpg,GARBAGE,773.0,604.0,263.0,161.0
2.0,7cffa9959bc80dc4b10dd67917eab1e5.jpg,POTHOLES,436.0,26.0,585.0,219.0
3.0,7cffa9959bc80dc4b10dd67917eab1e5.jpg,GARBAGE,91.0,4.0,196.0,137.0
3.0,7cffa9959bc80dc4b10dd67917eab1e5.jpg,GARBAGE,144.0,77.0,191.0,141.0
,a966cfe7c38d95f2b2b7dd50c584b48b.jpg,,,,,
3.0,1d4c531ea3f1220f275791b3785d7162.jpg,GARBAGE,512.0,439.0,349.0,286.0
3.0,1d4c531ea3f1220f275791b3785d7162.jpg,GARBAGE,673.0,589.0,350.0,291.0
3.0,1d4c531ea3f1220f275791b3785d7162.jpg,GARBAGE,613.0,501.0,341.0,266.0
3.0,1d4c531ea3f1220f275791b3785d7162.jpg,GARBAGE,463.0,373.0,370.0,283.0
,4ce1919c0279714e2c7fb14fe040d374.jpg,,,,,
2.0,ddbd7313b7a657f8d650d4d44b33d254.jpg,POTHOLES,942.0,777.0,360.0,241.0
3.0,ddbd7313b7a657f8d650d4d44b33d254.jpg,GARBAGE,171.0,119.0,257.0,210.0
2.0,ddbd7313b7a657f8d650d4d44b33d254.jpg,POTHOLES,618.0,377.0,510.0,369.0
2.0,ddbd7313b7a657f8d650d4d44b33d254.jpg,POTHOLES,998.0,845.0,481.0,295.0
2.0,ddbd7313b7a657f8d650d4d44b33d254.jpg,POTHOLES,844.0,493.0,516.0,365.0
2.0,0bd7e6fb8d2002b30f524213b88bd5c8.jpg,POTHOLES,644.0,539.0,281.0,204.0
3.0,0bd7e6fb8d2002b30f524213b88bd5c8.jpg,GARBAGE,106.0,41.0,245.0,194.0
8.0,0bd7e6fb8d2002b30f524213b88bd5c8.jpg,SAND_ON_ROAD,630.0,533.0,228.0,164.0
3.0,980ce7bc117316215c68669cb153bc03.jpg,GARBAGE,644.0,564.0,345.0,269.0
3.0,32c0a6b51f90425e5949c4e4f4a20b63.jpg,GARBAGE,130.0,53.0,336.0,271.0
3.0,32c0a6b51f90425e5949c4e4f4a20b63.jpg,GARBAGE,397.0,339.0,270.0,221.0
3.0,3f52d73c01bcfaf2dcb16d12df917f39.jpg,GARBAGE,512.0,441.0,257.0,219.0
9.0,3f52d73c01bcfaf2dcb16d12df917f39.jpg,CLUTTER_SIDEWALK,461.0,87.0,255.0,163.0
3.0,4e10617e7f35cc8a3cb79361f1ba9e33.jpg,GARBAGE,438.0,326.0,271.0,196.0
0.0,4e10617e7f35cc8a3cb79361f1ba9e33.jpg,GRAFFITI,165.0,-5.0,205.0,110.0
3.0,4e10617e7f35cc8a3cb79361f1ba9e33.jpg,GARBAGE,892.0,757.0,268.0,197.0
3.0,4e10617e7f35cc8a3cb79361f1ba9e33.jpg,GARBAGE,733.0,644.0,265.0,205.0
9.0,29f2b4766c70dd9c7e4e4a5f015641e0.jpg,CLUTTER_SIDEWALK,568.0,156.0,271.0,155.0
9.0,29f2b4766c70dd9c7e4e4a5f015641e0.jpg,CLUTTER_SIDEWALK,742.0,369.0,275.0,160.0
9.0,29f2b4766c70dd9c7e4e4a5f015641e0.jpg,CLUTTER_SIDEWALK,1048.0,695.0,287.0,157.0
9.0,29f2b4766c70dd9c7e4e4a5f015641e0.jpg,CLUTTER_SIDEWALK,191.0,-63.0,261.0,150.0
0.0,7dee6f7774207455fcd45f98650ed759.jpg,GRAFFITI,554.0,426.0,196.0,112.0
,a5c2f98fbf41e403eace427e0bf988cc.jpg,,,,,
3.0,fa000afe8a99edb79ca0c928c9a6490b.jpg,GARBAGE,153.0,47.0,268.0,215.0
3.0,fa000afe8a99edb79ca0c928c9a6490b.jpg,GARBAGE,230.0,133.0,270.0,215.0
4.0,56f904f8056ee4d72a5f6bbe03ea762e.jpg,CONSTRUCTION_ROAD,256.0,-28.0,308.0,79.0
4.0,56f904f8056ee4d72a5f6bbe03ea762e.jpg,CONSTRUCTION_ROAD,589.0,463.0,236.0,161.0
4.0,56f904f8056ee4d72a5f6bbe03ea762e.jpg,CONSTRUCTION_ROAD,388.0,139.0,262.0,128.0
4.0,56f904f8056ee4d72a5f6bbe03ea762e.jpg,CONSTRUCTION_ROAD,438.0,302.0,232.0,151.0
3.0,6dc09e56295226ec4d00b1d3bf69db86.jpg,GARBAGE,544.0,489.0,282.0,240.0
3.0,6dc09e56295226ec4d00b1d3bf69db86.jpg,GARBAGE,533.0,477.0,311.0,271.0
3.0,7015ca05781691c917ef09907bbd5dfc.jpg,GARBAGE,139.0,62.0,390.0,340.0
9.0,7015ca05781691c917ef09907bbd5dfc.jpg,CLUTTER_SIDEWALK,1013.0,796.0,391.0,324.0
3.0,7015ca05781691c917ef09907bbd5dfc.jpg,GARBAGE,668.0,609.0,373.0,336.0
9.0,7015ca05781691c917ef09907bbd5dfc.jpg,CLUTTER_SIDEWALK,819.0,292.0,401.0,309.0
3.0,7015ca05781691c917ef09907bbd5dfc.jpg,GARBAGE,434.0,377.0,369.0,330.0
3.0,7015ca05781691c917ef09907bbd5dfc.jpg,GARBAGE,699.0,641.0,370.0,333.0
3.0,f28109feedbd0cefb142d84765364a80.jpg,GARBAGE,335.0,198.0,266.0,187.0
2.0,f28109feedbd0cefb142d84765364a80.jpg,POTHOLES,608.0,504.0,316.0,227.0
7.0,ad1e205bd745489f038b1bea375d04e9.jpg,BAD_BILLBOARD,393.0,105.0,177.0,7.0
2.0,17804ccb4a08797d66c375a2caefe952.jpg,POTHOLES,804.0,637.0,337.0,251.0
2.0,17804ccb4a08797d66c375a2caefe952.jpg,POTHOLES,521.0,471.0,257.0,204.0
2.0,17804ccb4a08797d66c375a2caefe952.jpg,POTHOLES,747.0,568.0,401.0,305.0
2.0,17804ccb4a08797d66c375a2caefe952.jpg,POTHOLES,1030.0,739.0,534.0,349.0
2.0,17804ccb4a08797d66c375a2caefe952.jpg,POTHOLES,612.0,513.0,272.0,213.0
3.0,a1fd58b895e4de5447ca46517a61957c.jpg,GARBAGE,629.0,518.0,256.0,143.0
3.0,a1fd58b895e4de5447ca46517a61957c.jpg,GARBAGE,274.0,171.0,375.0,309.0
3.0,a1fd58b895e4de5447ca46517a61957c.jpg,GARBAGE,249.0,103.0,260.0,147.0
3.0,a1fd58b895e4de5447ca46517a61957c.jpg,GARBAGE,61.0,-20.0,376.0,307.0
3.0,a1fd58b895e4de5447ca46517a61957c.jpg,GARBAGE,134.0,44.0,363.0,298.0
8.0,a1fd58b895e4de5447ca46517a61957c.jpg,SAND_ON_ROAD,430.0,235.0,331.0,229.0
3.0,a1fd58b895e4de5447ca46517a61957c.jpg,GARBAGE,452.0,357.0,252.0,175.0
3.0,a1fd58b895e4de5447ca46517a61957c.jpg,GARBAGE,338.0,173.0,258.0,135.0
4.0,e90f010b15482ee778a4069468482b9b.jpg,CONSTRUCTION_ROAD,725.0,574.0,264.0,167.0
4.0,e90f010b15482ee778a4069468482b9b.jpg,CONSTRUCTION_ROAD,419.0,273.0,239.0,154.0
4.0,e90f010b15482ee778a4069468482b9b.jpg,CONSTRUCTION_ROAD,820.0,622.0,285.0,165.0
4.0,e90f010b15482ee778a4069468482b9b.jpg,CONSTRUCTION_ROAD,1016.0,708.0,325.0,160.0
4.0,e90f010b15482ee778a4069468482b9b.jpg,CONSTRUCTION_ROAD,638.0,499.0,242.0,173.0
4.0,e90f010b15482ee778a4069468482b9b.jpg,CONSTRUCTION_ROAD,188.0,-60.0,317.0,84.0
4.0,e90f010b15482ee778a4069468482b9b.jpg,CONSTRUCTION_ROAD,337.0,100.0,271.0,127.0
